critique	present:slides	hard	skill-slide-critic
critique	present:slides		skill-slide-critic
implement	cslib	hard	skill-cslib-implementation-hard
implement	cslib		skill-cslib-implementation
implement	email	hard	skill-email-implementation
implement	email		skill-email-implementation
implement	epidemiology	hard	skill-epi-implement
implement	epidemiology		skill-epi-implement
implement	epi	hard	skill-epi-implement
implement	epi		skill-epi-implement
implement	epi:study	hard	skill-epi-implement
implement	epi:study		skill-epi-implement
implement	filetypes:document	hard	skill-filetypes
implement	filetypes:document		skill-filetypes
implement	filetypes:docx	hard	skill-docx-edit
implement	filetypes:docx		skill-docx-edit
implement	filetypes	hard	skill-filetypes
implement	filetypes:presentation	hard	skill-presentation
implement	filetypes:presentation		skill-presentation
implement	filetypes:scrape	hard	skill-scrape
implement	filetypes:scrape		skill-scrape
implement	filetypes		skill-filetypes
implement	filetypes:spreadsheet	hard	skill-filetypes-spreadsheet
implement	filetypes:spreadsheet		skill-filetypes-spreadsheet
implement	filetypes:xlsx	hard	skill-sheet
implement	filetypes:xlsx		skill-sheet
implement	formal	hard	skill-implementer-hard
implement	formal:logic	hard	skill-implementer-hard
implement	formal:logic		skill-implementer
implement	formal:math	hard	skill-implementer-hard
implement	formal:math		skill-implementer
implement	formal:physics	hard	skill-implementer-hard
implement	formal:physics		skill-implementer
implement	formal		skill-implementer
implement	founder:analyze	hard	skill-founder-implement
implement	founder:analyze		skill-founder-implement
implement	founder:consult	hard	skill-founder-implement
implement	founder:consult		skill-founder-implement
implement	founder:deck	hard	skill-deck-implement
implement	founder:deck		skill-deck-implement
implement	founder:finance	hard	skill-founder-implement
implement	founder:finance		skill-founder-implement
implement	founder:financial-analysis	hard	skill-founder-implement
implement	founder:financial-analysis		skill-founder-implement
implement	founder	hard	skill-founder-implement
implement	founder:legal	hard	skill-founder-implement
implement	founder:legal		skill-founder-implement
implement	founder:market	hard	skill-founder-implement
implement	founder:market		skill-founder-implement
implement	founder:meeting	hard	skill-founder-implement
implement	founder:meeting		skill-founder-implement
implement	founder:project	hard	skill-founder-implement
implement	founder:project		skill-founder-implement
implement	founder:sheet	hard	skill-founder-implement
implement	founder:sheet		skill-founder-implement
implement	founder		skill-founder-implement
implement	founder:strategy	hard	skill-founder-implement
implement	founder:strategy		skill-founder-implement
implement	latex	hard	skill-latex-implementation
implement	latex		skill-latex-implementation
implement	lean4	hard	skill-lean-implementation-hard
implement	lean4:lake	hard	skill-lean-implementation-hard
implement	lean4:lake		skill-lake-repair
implement	lean4		skill-lean-implementation
implement	lean4:version	hard	skill-lean-implementation-hard
implement	lean4:version		skill-lean-version
implement	memory	hard	skill-learn
implement	memory		skill-learn
implement	neovim	hard	skill-neovim-implementation
implement	neovim		skill-neovim-implementation
implement	nix	hard	skill-nix-implementation
implement	nix		skill-nix-implementation
implement	present:budget	hard	skill-budget
implement	present:budget		skill-budget
implement	present:funds	hard	skill-funds
implement	present:funds		skill-funds
implement	present:grant	hard	skill-grant:assemble
implement	present:grant		skill-grant:assemble
implement	present	hard	skill-grant
implement	present		skill-grant
implement	present:slides	hard	skill-slides:assemble
implement	present:slides		skill-slides:assemble
implement	present:timeline	hard	skill-timeline
implement	present:timeline		skill-timeline
implement	pr	hard	skill-implementer-hard
implement	pr		skill-pr-review-implementation
implement	python	hard	skill-python-implementation
implement	python		skill-python-implementation
implement	typst	hard	skill-typst-implementation
implement	typst		skill-typst-implementation
implement	web	hard	skill-web-implementation
implement	web		skill-web-implementation
implement	z3	hard	skill-z3-implementation
implement	z3		skill-z3-implementation
plan	cslib	hard	skill-planner-hard
plan	cslib		skill-planner
plan	email	hard	skill-planner-hard
plan	email		skill-planner
plan	epidemiology	hard	skill-planner-hard
plan	epidemiology		skill-planner
plan	epi	hard	skill-planner-hard
plan	epi		skill-planner
plan	epi:study	hard	skill-planner-hard
plan	epi:study		skill-planner
plan	filetypes:document	hard	skill-planner-hard
plan	filetypes:document		skill-planner
plan	filetypes:docx	hard	skill-planner-hard
plan	filetypes:docx		skill-planner
plan	filetypes	hard	skill-planner-hard
plan	filetypes:presentation	hard	skill-planner-hard
plan	filetypes:presentation		skill-planner
plan	filetypes:scrape	hard	skill-planner-hard
plan	filetypes:scrape		skill-planner
plan	filetypes		skill-planner
plan	filetypes:spreadsheet	hard	skill-planner-hard
plan	filetypes:spreadsheet		skill-planner
plan	filetypes:xlsx	hard	skill-planner-hard
plan	filetypes:xlsx		skill-planner
plan	formal	hard	skill-planner-hard
plan	formal:logic	hard	skill-planner-hard
plan	formal:logic		skill-planner
plan	formal:math	hard	skill-planner-hard
plan	formal:math		skill-planner
plan	formal:physics	hard	skill-planner-hard
plan	formal:physics		skill-planner
plan	formal		skill-planner
plan	founder:analyze	hard	skill-founder-plan
plan	founder:analyze		skill-founder-plan
plan	founder:consult	hard	skill-founder-plan
plan	founder:consult		skill-founder-plan
plan	founder:deck	hard	skill-deck-plan
plan	founder:deck		skill-deck-plan
plan	founder:finance	hard	skill-founder-plan
